dataset,encoder,scaling_tau,test_accuracy,correlation_r,training_time_sec,encoder_display
sst,lstm,1,0.7996,-0.1411,3.6,LSTM
sst,lstm,10,0.8056,0.3725,2.9,LSTM
sst,lstm,100,0.8067,-0.0865,3.5,LSTM
sst,affine,1,0.8171,0.2580,2.3,AFFINE
sst,affine,10,0.8149,-0.0910,2.3,AFFINE
sst,affine,100,0.8144,0.3903,2.6,AFFINE
sst,gru,1,0.8127,0.6280,2.9,GRU
sst,gru,10,0.8083,-0.2479,3.6,GRU
sst,gru,100,0.8100,0.2485,2.5,GRU
imdb,lstm,1,0.8329,0.4906,55.3,LSTM
imdb,lstm,10,0.8413,0.2651,26.8,LSTM
imdb,lstm,100,0.8458,0.3533,26.9,LSTM
imdb,affine,1,0.8553,-0.2750,22.9,AFFINE
imdb,affine,10,0.8508,-0.2366,51.3,AFFINE
imdb,affine,100,0.8510,-0.9402,40.0,AFFINE
imdb,gru,1,0.8432,-0.4401,31.3,GRU
imdb,gru,10,0.8328,0.0956,44.0,GRU
imdb,gru,100,0.8444,-0.0386,31.4,GRU
