dataset,encoder,scaling,l2_lambda,test_acc,r_corr,train_time_sec,peak_mem_mb
sst,lstm,0.001,0.0,0.7775947281713345,0.04789238948576844,5.552670955657959,1193.85546875
sst,lstm,1.0,0.0,0.800109829763866,-0.10338802180088631,4.634894132614136,1202.8515625
sst,lstm,10.0,0.0,0.7979132344865458,0.3064004460800468,5.1188740730285645,1202.8828125
sst,lstm,20.0,0.0,0.8028555738605162,0.3246730664445061,4.777831315994263,1202.8828125
sst,lstm,50.0,0.0,0.8012081274025261,-0.01718262365000274,4.036346912384033,1202.890625
sst,lstm,100.0,0.0,0.814387699066447,0.2859651362816473,5.2855024337768555,1202.8984375
sst,lstm,10000.0,0.0,0.8083470620538166,0.027923051452447185,4.376533031463623,1202.8984375
imdb,lstm,0.001,0.0,0.82704,-0.05488057318459874,56.294808864593506,1487.43359375
imdb,lstm,1.0,0.0,0.83692,-0.025073749129238074,43.84359407424927,1526.359375
imdb,lstm,10.0,0.0,0.82772,-0.02907373060819877,56.37470602989197,1525.4609375
imdb,lstm,20.0,0.0,0.8326,-0.30379042031910813,62.269604444503784,1525.53125
imdb,lstm,50.0,0.0,0.83304,-0.6311704020382096,62.54281449317932,1525.5234375
imdb,lstm,100.0,0.0,0.83604,-0.46967369641782103,49.92181205749512,1525.5703125
imdb,lstm,10000.0,0.0,0.83928,-0.771329254637187,37.62967109680176,1525.55859375
20news,lstm,0.001,0.0,0.49525237381309345,0.15998859603549884,78.51869463920593,1493.640625
20news,lstm,1.0,0.0,0.496751624187906,0.06594067328823025,177.52926087379456,1503.66015625
20news,lstm,10.0,0.0,0.496751624187906,0.08687182652085002,191.76265931129456,1503.66015625
20news,lstm,20.0,0.0,0.49725137431284355,-0.17942493750561686,212.81261277198792,1503.66015625
20news,lstm,50.0,0.0,0.495752123938031,0.22215782448979016,198.64894366264343,1503.66015625
20news,lstm,100.0,0.0,0.49325337331334335,-0.23273852372701118,176.52824330329895,1503.66015625
20news,lstm,10000.0,0.0,0.4942528735632184,-0.28160926820001464,191.83420205116272,1503.66015625
